CPUNano,CPU,AvgCPU,MemPerc
10545000,28.42181236234827,28.42181236234827,0.07%
80674000,7.003220596697362,7.7684399624243765,2.26%
151137000,7.038733101482782,7.410278547382754,4.45%
216895000,6.56823280466807,7.133035546778782,6.64%
289858000,7.286188177044581,7.170977512579668,8.82%
356153000,6.620813552206826,7.061748701513232,11.02%
421189000,6.4945459470007405,6.967784794104162,13.22%
486646000,6.537038998586304,6.90657154592947,15.41%
568134000,8.13195825094068,7.05914285514351,17.58%
635366000,6.7152585218415535,7.021097057782903,19.77%
702646000,6.720998581195002,6.991206671173407,21.97%
782822000,8.007322897332221,7.083266677539525,24.13%
961550000,17.863259411780763,7.978183117908221,26.09%
1139134000,17.734032464022647,8.726577569189187,28.04%
1313743000,17.434074712262483,9.34705416905981,30.01%
1495129000,18.11160078315015,9.93002675870667,31.96%
1670476000,17.50784845792995,10.402648421689872,33.92%
1845598000,17.485178283085073,10.81845085207215,35.89%
2031905000,18.60102862499193,11.250035693265115,37.83%
2206972000,17.479838958710054,11.577341116079719,39.79%
2383237000,17.59793721046419,11.877890540145568,41.76%
2558945000,17.543839049201324,12.147265420040512,43.73%
2733557000,17.45129399982782,12.387766586253301,45.68%
2908981000,17.521558999169994,12.610583871315551,47.65%
3084583000,17.53270564931838,12.81540211978291,49.61%
3281690000,19.700017429148836,13.090167987361648,51.52%
3455795000,17.391727178374662,13.2553403358055,53.49%
3630972000,17.49226662915108,13.41207131944791,55.45%
3806337000,17.514699331139635,13.558391186411548,57.42%
3981085000,17.457198378219594,13.692622740281365,59.38%
4184212000,20.291366144628327,13.912257737009789,61.28%
4553824000,36.90991109483994,14.65330504917389,20.16%
